trialid,ppid,block,maxyr,onsettime,dn,ttlc.failure,rt,disengage_trialtime,world_x_disengaged,world_z_disengaged,world_x_onset,world_z_onset,peak_swa,peak_sr,disengaged,ttlc.takeover,early.disengagement
4_0_6_20_3_D,4,6,20,3,D,2.33,0.82272041245079,3.82272041245079,0.605656147003174,30.9436016082764,0.172228261828423,24.4254722595215,69.6599990129471,1.44000291824341,1,1.50727958754921,FALSE
4_0_6_20_3_N,4,6,20,3,N,2.33,0.93462063219917,3.93462063219917,0.695746660232544,31.9510803222656,0.172280550003052,24.504264831543,48.8699984550476,1.17000102996826,1,1.39537936780083,FALSE
4_0_6_6_11_D,4,6,6,11,D,4.12,1.6968269300428,12.6968269300428,29.6426334381104,93.5773849487305,20.4719371795654,83.7080078125,26.549998819828,0.540001094341275,1,2.4231730699572,FALSE
4_0_6_6_11_N,4,6,6,11,N,4.12,1.6582864456304,12.6582864456304,29.4346981048584,93.155891418457,20.453483581543,83.4807815551758,33.120000064373,1.79999828338623,1,2.4617135543696,FALSE
4_0_6_6_3_D,4,6,6,3,D,3.76,2.04213795851348,5.04213795851348,0.544862568378449,40.728157043457,0.00269562215544283,24.4731693267822,27.179998755455,1.26000054180622,1,1.71786204148652,FALSE
4_0_6_6_3_N,4,6,6,3,N,3.76,2.04162994131991,5.04162994131991,0.545102417469025,40.7320518493652,0.0028223698027432,24.4766254425049,39.3300005793571,0.990000665187836,1,1.71837005868009,FALSE
4_1_1_20_11_D,4,1,20,11,D,2.03,1.5562730014682,12.5562730014682,49.9686126708984,36.4912185668945,42.4640464782715,46.3536758422852,67.0500004291534,1.08000218868255,1,0.473726998531799,FALSE
4_1_1_20_11_N,4,1,20,11,N,2.03,1.0601965327551,12.0601965327551,47.6927223205566,39.8115539550781,42.4683570861816,46.3937377929688,59.8500019311905,1.08000218868256,1,0.9698034672449,FALSE
4_1_1_20_3_D,4,1,20,3,D,2.33,1.44157627069528,4.44157627069528,1.17863190174103,35.8960113525391,0.172215327620506,24.4775848388672,89.4600015878677,1.62000060081483,1,0.88842372930472,FALSE
4_1_1_20_3_N,4,1,20,3,N,2.33,1.04068754467477,4.04068754467477,0.779626488685608,32.6731376647949,0.172223225235939,24.4304523468018,54.35999751091,2.3399993777275,1,1.28931245532523,FALSE
4_1_1_6_11_D,4,1,6,11,D,4.12,2.3875336871897,13.3875336871897,33.5188674926758,97.5429077148438,20.4675178527832,83.6435394287109,31.9499990344048,0.720001459121704,1,1.7324663128103,FALSE
4_1_1_6_11_N,4,1,6,11,N,4.12,3.0264981743717,14.0264981743717,37.0427780151367,101.006683349609,20.453483581543,83.4741592407227,14.4899998605251,0.360000059008597,1,1.0935018256283,FALSE
4_1_1_6_3_D,4,1,6,3,D,3.76,1.65646009215078,4.65646009215078,0.36892631649971,37.6203880310059,0.00157478987239301,24.4266510009766,27.809998691082,1.25999987125396,1,2.10353990784922,FALSE
